"time","ax"
1.567751793E2,3.637090325E-1
1.567777109E2,4.139583111E-1
1.567802425E2,3.876372576E-1
1.567827741E2,3.852444589E-1
1.567853056E2,3.804588020E-1
1.567878372E2,3.948157430E-1
1.567903688E2,4.091726840E-1
1.567929003E2,3.804588020E-1
1.567954319E2,4.043870270E-1
1.567979391E2,3.804588020E-1
1.568004707E2,3.637090325E-1
1.568030022E2,3.996013701E-1
1.568055338E2,4.115654826E-1
1.568080654E2,4.019941986E-1
1.568105970E2,3.900300860E-1
1.568131285E2,4.019941986E-1
1.568156601E2,3.972085714E-1
1.568181916E2,4.187439680E-1
1.568207232E2,3.924229145E-1
1.568232547E2,3.613162339E-1
1.568257863E2,4.477569461E-1
1.568283505E2,4.357928336E-1
1.568308821E2,3.948157430E-1
1.568334137E2,3.780659735E-1
1.568359452E2,3.876372576E-1
1.568384768E2,4.211367965E-1
1.568410084E2,4.331009090E-1
1.568435400E2,3.996013701E-1
1.568460715E2,3.780659735E-1
1.568486031E2,4.115654826E-1
1.568511346E2,3.804588020E-1
1.568536662E2,3.972085714E-1
1.568561978E2,3.996013701E-1
1.568586868E2,3.804588020E-1
1.568612183E2,4.067798555E-1
1.568637499E2,3.732803464E-1
1.568662815E2,3.828516304E-1
1.568688130E2,3.996013701E-1
1.568713446E2,3.661018610E-1
1.568738762E2,3.996013701E-1
1.568764077E2,4.187439680E-1
1.568789393E2,3.972085714E-1
1.568814708E2,3.900300860E-1
1.568840024E2,4.019941986E-1
1.568865340E2,3.637090325E-1
1.568890696E2,3.756731451E-1
1.568916012E2,4.139583111E-1
1.568941327E2,4.115654826E-1
1.568966642E2,4.187439680E-1
1.568991958E2,4.259224236E-1
1.569017274E2,3.780659735E-1
1.569042590E2,3.517449200E-1
1.569067905E2,4.019941986E-1
1.569093221E2,3.804588020E-1
1.569118537E2,3.708875179E-1
1.569143852E2,4.067798555E-1
1.569169168E2,3.996013701E-1
1.569194441E2,3.756731451E-1
1.569219756E2,3.708875179E-1
1.569245072E2,3.780659735E-1
1.569270387E2,3.948157430E-1
1.569295703E2,3.565305769E-1
1.569321019E2,3.804588020E-1
1.569346334E2,3.565305769E-1
1.569371650E2,3.732803464E-1
1.569396966E2,3.637090325E-1
1.569422281E2,3.804588020E-1
1.569447597E2,3.637090325E-1
1.569472913E2,4.259224236E-1
1.569498342E2,4.405784607E-1
1.569523657E2,3.613162339E-1
1.569548973E2,3.708875179E-1
1.569574289E2,3.828516304E-1
1.569599604E2,3.972085714E-1
1.569624920E2,4.331009090E-1
1.569650235E2,3.708875179E-1
1.569675551E2,3.780659735E-1
1.569700867E2,4.357928336E-1
1.569726182E2,4.283152521E-1
1.569751498E2,4.115654826E-1
1.569776814E2,4.139583111E-1
1.569802160E2,4.091726840E-1
1.569827476E2,3.661018610E-1
1.569852791E2,3.780659735E-1
1.569878107E2,4.019941986E-1
